scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,18,0.0290512977340871,0.0070995449104322,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,19,0.0323541878804662,0.0131130031492461,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,20,0.0428435710378775,0.0233395441832565,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,21,0.0358180264544913,0.009115240692414,132840,132819,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,22,0.0344475137432637,0.0107060835379509,132840,132818,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,23,0.0321323497786665,0.010241413350765,132840,132817,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,24,0.0293505167378226,0.007427321697226,132840,132816,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,25,0.0427629883164607,0.0238940233827289,132840,132815,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,26,0.0292359116977033,0.002009106206646,132840,132814,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,27,0.0339687876731361,0.0130229150647541,132840,132813,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,28,0.0298245148104646,0.0078630133920939,132840,132812,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,29,0.0336137199717384,0.012546795262856,132840,132811,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,30,0.0286696973644316,0.0054993678989375,132840,132810,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,31,0.0284766634315579,0.0080496629097664,132840,132809,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,32,0.0225120578461272,0.0010953440288326,132840,132808,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,33,0.0234904135401207,0.0059592843219666,132840,132807,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,34,0.0228971324168094,0.0050348323676081,132840,132806,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
1min,35,0.0263857271412683,0.0089429174389125,132840,132805,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,MA_BIC
