scale,evaluation,horizon_bars,horizon_minutes,model,group_type,group,n,mse,mae,rmse,mse_ratio_vs_zero,mse_gain_vs_zero,n_candidate_origins_all,n_dropped_nonfinite_all
15min,native,1,15.0,TRAIN_MEAN,time_band,fim,884,0.006762894903053,0.0545533962910527,0.0822368220631915,1.0008930101913187,-0.0008930101913187,7956,0
15min,native,1,15.0,TRAIN_MEAN,time_band,inicio,884,0.0319020228001582,0.1326797025821378,0.1786113736584494,1.0002044976193958,-0.0002044976193957,7956,0
15min,native,1,15.0,TRAIN_MEAN,time_band,meio,6188,0.0184184975730095,0.0938658378624011,0.1357147654936984,1.0005815989836224,-0.0005815989836224,7956,0
15min,native,1,15.0,TRAIN_MEAN,gap_group,high,3492,0.0203205296928558,0.0967294190493966,0.1425500953800305,1.0004606866763688,-0.0004606866763687,7956,0
15min,native,1,15.0,TRAIN_MEAN,gap_group,low,4104,0.0167640850429713,0.089954810417645,0.1294761948891429,1.00082962744778,-0.0008296274477801,7956,0
15min,common_60min,4,60.0,ARMA_BIC,all,all,1989,0.0767626608559358,0.1936612038688868,0.2770607530054298,1.0020305204684363,-0.0020305204684365,1989,0
15min,common_60min,4,60.0,ARMA_BIC,time_band,fim,221,0.0272550705647037,0.1116315358298615,0.1650910977754518,1.003554799919696,-0.003554799919696,1989,0
15min,common_60min,4,60.0,ARMA_BIC,time_band,inicio,221,0.1217175918170591,0.2580557052687433,0.3488804835714648,1.0008581374008183,-0.0008581374008183,1989,0
15min,common_60min,4,60.0,ARMA_BIC,time_band,meio,1547,0.077413040760237,0.1961805133887681,0.2782319909001067,1.0022176511575729,-0.0022176511575728,1989,0
15min,common_60min,4,60.0,ARMA_BIC,gap_group,high,873,0.0791364620317067,0.1974405877843326,0.2813120367700371,1.0018954240829543,-0.0018954240829542,1989,0
15min,common_60min,4,60.0,ARMA_BIC,gap_group,low,1026,0.0708596902847268,0.1854304996873617,0.2661948351954388,1.0031476643350838,-0.0031476643350838,1989,0
15min,common_60min,4,60.0,AR_BIC,all,all,1989,0.0767736523197883,0.1936801946105682,0.2770805881323849,1.0021739988487066,-0.0021739988487066,1989,0
15min,common_60min,4,60.0,AR_BIC,time_band,fim,221,0.0272924923450892,0.1118204125710262,0.1652043956591024,1.0049327015926424,-0.0049327015926423,1989,0
15min,common_60min,4,60.0,AR_BIC,time_band,inicio,221,0.1217277837054827,0.2580872592225002,0.3488950898271323,1.0009419431540536,-0.0009419431540536,1989,0
15min,common_60min,4,60.0,AR_BIC,time_band,meio,1547,0.0774203706896461,0.1961734399573697,0.2782451629222799,1.0023125471151964,-0.0023125471151963,1989,0
15min,common_60min,4,60.0,AR_BIC,gap_group,high,873,0.0791643993553444,0.1975178260136107,0.2813616877887684,1.0022491204195754,-0.0022491204195753,1989,0
