scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence
1d,7,0.0909240065943488,0.0895834532084381,246,239,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,8,0.0021589602660667,-0.0131640500966721,246,238,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,9,-0.0210680600299814,-0.014133476971061,246,237,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,10,0.0492183641498008,0.0368249398796286,246,236,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,11,0.0178590453810481,-0.0042602452496977,246,235,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,12,-0.0081773539017993,-0.001369703218885,246,234,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,13,-0.0452275176730633,-0.0485104262755411,246,233,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,14,-0.0035953006544614,-0.0306658828008683,246,232,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,15,0.0344343652339336,0.0371778194220788,246,231,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,16,-0.0911969868777877,-0.0884376518857184,246,230,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,17,0.0488994088153754,0.0493714319871331,246,229,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,18,-0.147376720720836,-0.149110854050734,246,228,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,19,0.0352929099567516,0.0213725948516823,246,227,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
1d,20,0.003346946173305,0.0431068278037693,246,226,0.1249650357604143,Yule_Walker_MLE,annual_trading_time
