scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
5min,9,0.0087856117326462,0.0089632274222769,26568,26559,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,10,-0.0099306771405146,-0.0102780130107201,26568,26558,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,11,-0.0135105070775381,-0.0129447106360346,26568,26557,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,12,-0.0010009900547953,-0.0014415305173483,26568,26556,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,13,-0.0161028055626297,-0.0160340030218455,26568,26555,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,14,0.0025227327870533,0.0025726165874722,26568,26554,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,15,0.0053882121874858,0.0047346854298826,26568,26553,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,16,-0.0050212560043003,-0.0049281504362787,26568,26552,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,17,-0.0009034356568065,-0.0009404319802903,26568,26551,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,18,-0.0001438553443962,-0.0003278974238715,26568,26550,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,19,0.0007486284113691,0.0010157946578134,26568,26549,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,20,-0.0032983995371595,-0.0030033946423954,26568,26548,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,21,-0.0049146040379574,-0.0053699910185332,26568,26547,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,22,0.0034684888790983,0.003414596986248,26568,26546,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,23,0.0055842216822048,0.005265488608261,26568,26545,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,24,-0.0001133734152658,-0.0005297566301986,26568,26544,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
5min,1,2.886014647545346e-05,2.8860146475452632e-05,26568,26567,0.0120247661725944,Yule_Walker_MLE,annual_trading_time,AR_BIC
