lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant,scale,label,bar_minutes,separation_value,separation_unit
8,40.0,-0.00399641208695384,-0.0038765050319657323,0.01249650357604143,0.01249650357604143,24600,24600,-0.004976007864001653,-0.005121289361936167,False,False,5min,5 minutos,5.0,40,minutos
9,45.0,0.010482728003826733,0.0100207804826728,0.012559458652443609,0.012559458652443609,24354,24354,0.008785611732646272,0.008963227422276942,False,False,5min,5 minutos,5.0,45,minutos
10,50.0,-0.012939057039961436,-0.012437539873897945,0.012623374885344051,0.012623374885344051,24108,24108,-0.00993067714051464,-0.010278013010720108,True,False,5min,5 minutos,5.0,50,minutos
11,55.0,-0.017394301133468747,-0.01581317868845131,0.012688276983512221,0.012688276983512221,23862,23862,-0.013510507077538108,-0.012944710636034681,True,True,5min,5 minutos,5.0,55,minutos
12,60.0,-0.0020492887003060443,-0.0022730491607655962,0.012754190554236162,0.012754190554236162,23616,23616,-0.001000990054795358,-0.0014415305173484019,False,False,5min,5 minutos,5.0,60,minutos
13,65.0,-0.015407050600330029,-0.013985994905911781,0.012821142145773222,0.012821142145773222,23370,23370,-0.0161028055626297,-0.01603400302184557,True,True,5min,5 minutos,5.0,65,minutos
14,70.0,0.0017873844433441302,0.0017834621141880652,0.01288915929227812,0.01288915929227812,23124,23124,0.002522732787053333,0.002572616587472228,False,False,5min,5 minutos,5.0,70,minutos
15,75.0,0.006796752877214634,0.005467709726509528,0.01295827056138098,0.01295827056138098,22878,22878,0.005388212187485824,0.004734685429882661,False,False,5min,5 minutos,5.0,75,minutos
16,80.0,-0.002481320334899552,-0.002255492967955981,0.013028505604602092,0.013028505604602092,22632,22632,-0.005021256004300367,-0.004928150436278704,False,False,5min,5 minutos,5.0,80,minutos
17,85.0,-0.002804145730762651,-0.0024803627955967333,0.01309989521080546,0.01309989521080546,22386,22386,-0.0009034356568065612,-0.0009404319802903008,False,False,5min,5 minutos,5.0,85,minutos
18,90.0,-0.004337547530423754,-0.003990579919327226,0.013172471362910027,0.013172471362910027,22140,22140,-0.00014385534439624093,-0.0003278974238715198,False,False,5min,5 minutos,5.0,90,minutos
19,95.0,0.00309633981944866,0.0028982330822240818,0.013246267298095811,0.013246267298095811,21894,21894,0.0007486284113691815,0.0010157946578134502,False,False,5min,5 minutos,5.0,95,minutos
20,100.0,-0.0013562842680667866,-0.0008179397680765841,0.013321317571762402,0.013321317571762402,21648,21648,-0.003298399537159499,-0.0030033946423954714,False,False,5min,5 minutos,5.0,100,minutos
21,105.0,0.00027007299503060354,-0.00019517326429496263,0.013397658125519346,0.013397658125519346,21402,21402,-0.004914604037957455,-0.00536999101853326,False,False,5min,5 minutos,5.0,105,minutos
