scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1min,2024-01-16,2024-01-16,2024-01-16,540,main,ADF,c,unit_root,12.0,bic,False,ok,-25.85415165458222,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-16,2024-01-16,2024-01-16,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-25.72229166727681,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-16,2024-01-16,2024-01-16,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0994620438279452,0.588189780860274,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-16,2024-01-16,2024-01-16,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-25.86356867299282,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-16,2024-01-16,2024-01-16,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-25.732767963465477,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-16,2024-01-16,2024-01-16,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.02700685174898108,0.912146091677988,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-16,2024-01-16,2024-01-16,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-25.85415165458222,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-16,2024-01-16,2024-01-16,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-25.70485527971219,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-16,2024-01-16,2024-01-16,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09417417082120556,0.6146291458939722,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-17,2024-01-17,2024-01-17,540,main,ADF,c,unit_root,12.0,bic,False,ok,-21.916302578849614,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-17,2024-01-17,2024-01-17,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-21.91375695691637,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-17,2024-01-17,2024-01-17,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09252622190170774,0.6233711600972992,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-17,2024-01-17,2024-01-17,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-21.926834201593497,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-17,2024-01-17,2024-01-17,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-21.922421072113664,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-17,2024-01-17,2024-01-17,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.05501231591008888,0.5074522090789335,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-17,2024-01-17,2024-01-17,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-21.916302578849614,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-17,2024-01-17,2024-01-17,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-21.88629868220883,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-17,2024-01-17,2024-01-17,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.10851589063198784,0.5453823153091463,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-18,2024-01-18,2024-01-18,540,main,ADF,c,unit_root,12.0,bic,False,ok,-25.661908917795873,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-18,2024-01-18,2024-01-18,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-25.67897523341612,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-18,2024-01-18,2024-01-18,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.23308798596980365,0.2118363848942369,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-18,2024-01-18,2024-01-18,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-25.70557625458251,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
