scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
30min,2024-01-19,2024-01-19,2024-01-19,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.34194944252731074,0.1038412162440756,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-22,2024-01-22,2024-01-22,18,main,ADF,c,unit_root,2.0,bic,True,ok,-4.811137603211554,5.1779722377200416e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-22,2024-01-22,2024-01-22,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.942547275357606,2.879985008172163e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-22,2024-01-22,2024-01-22,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.12626390516683714,0.471326690130906,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-22,2024-01-22,2024-01-22,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-4.811137603211554,5.1779722377200416e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-22,2024-01-22,2024-01-22,18,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.106709993360777,1.3589937911152101e-05,-3.889265672705068,-3.0543579727254224,-2.66698384083045,4,17,True,
30min,2024-01-22,2024-01-22,2024-01-22,18,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.15902657093132627,0.36388304689196077,0.7428,0.4614,0.3475,4,18,False,
30min,2024-01-23,2024-01-23,2024-01-23,18,main,ADF,c,unit_root,2.0,bic,True,ok,-5.649496153534273,9.93561094003936e-07,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
30min,2024-01-23,2024-01-23,2024-01-23,18,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-5.69793902377766,7.795448424411473e-07,-3.889265672705068,-3.0543579727254224,-2.66698384083045,2,17,True,
30min,2024-01-23,2024-01-23,2024-01-23,18,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.06448550902993531,0.7867222236480705,0.7428,0.4614,0.3475,2,18,False,
30min,2024-01-23,2024-01-23,2024-01-23,18,lag_sensitivity,ADF,c,unit_root,2.0,aic,True,ok,-5.649496153534273,9.93561094003936e-07,-3.889265672705068,-3.0543579727254224,-2.66698384083045,0,17,True,
